EMBLEM,NAME,QUALITY,TYPE,SLOT,POTENTIAL,HEALTH,ATTACK,DEFENCE,MAGIC,LINK1,LINK2,LINK3,ICONID,GRAPHICID,PASSIVE
DEATH,Claws of Cruelty,LEGENDARY,DEFENSE,GLOVES,154,3041,4181,4562,3421,1265,1280,1108,198135,206051,null
DEATH,Dark Overlord Horrorplate,LEGENDARY,ATTACK,CHEST,160,4353,4748,3165,3561,1264,1270,1106,197081,205921,null
DEATH,Dark Overlord Crown,LEGENDARY,MAGIC,HELM,160,3165,3561,4353,4748,1260,1269,1107,200591,206957,null
DEATH,Crimson Blood,LEGENDARY,ATTACK,TALISMAN,160,4328,4722,3148,3541,1262,1284,1112,205525,208965,null
DEATH,Ring of Purgatory,LEGENDARY,DEFENSE,RING,154,3041,4181,4562,3421,1261,1272,1113,204577,208689,null
DEATH,Rise Incubus Pendant,LEGENDARY,MAGIC,NECKLACE,154,3059,3441,4206,4588,1263,1279,1113,196827,205791,null
BEAST,Carnivorum Ward,LEGENDARY,NONE,OFF_HAND,158,4304,4695,3130,3521,null,null,null,201343,207339,Red Advantage
BEAST,Blood Bishop,LEGENDARY,NONE,MAIN_HAND,160,3148,4328,4722,3541,null,null,null,200935,207131,Enemy Blues
BEAST,Behemoth Warboots,LEGENDARY,DEFENSE,BOOTS,152,3006,4133,4508,3381,1275,1266,1100,204871,208823,null
BEAST,Behemoth Warfists,LEGENDARY,ATTACK,GLOVES,156,4279,4668,3112,3501,1274,1281,1103,198143,206055,null
BEAST,Behemoth Battleplate,LEGENDARY,MAGIC,CHEST,154,3041,3421,4181,4562,1273,1283,1105,197089,205925,null
BEAST,Behemoth Greathelm,LEGENDARY,DEFENSE,HELM,158,3130,4304,4695,3521,1284,1265,1104,200599,206961,null
BEAST,Horn of Carnage,LEGENDARY,MAGIC,TALISMAN,156,3094,3481,4255,4642,1271,1260,1099,205533,208969,null
BEAST,Bloodshed Ring,LEGENDARY,ATTACK,RING,161,4401,4802,3201,3601,1270,1278,1098,204585,208693,null
BEAST,Blitzkrieg Pendant,LEGENDARY,DEFENSE,NECKLACE,156,3094,4255,4642,3481,1269,1282,1097,196835,205795,null
NATURE,Sacred Oak Shield,LEGENDARY,NONE,OFF_HAND,160,4377,4775,3183,3581,null,null,null,201355,207345,Red Dance Chance
NATURE,Banshee,LEGENDARY,NONE,MAIN_HAND,158,3130,4304,4695,3521,null,null,null,200967,207147,Blue Bandage
NATURE,Forest Guardian Boots,LEGENDARY,ATTACK,BOOTS,150,4084,4455,2970,3341,1281,1274,1262,204879,208827,null
NATURE,Forest Guardian Gloves,LEGENDARY,MAGIC,GLOVES,152,3006,3381,4133,4508,1283,1266,1263,198151,206059,null
NATURE,Forest Guardian Spiritplate,LEGENDARY,DEFENSE,CHEST,161,3201,4401,4802,3601,1282,1261,1275,197097,205929,null
NATURE,Forest Guardian Crown,LEGENDARY,ATTACK,HELM,164,4426,4828,3219,3621,1278,1262,1274,200607,206965,null
NATURE,Demonseed,LEGENDARY,DEFENSE,TALISMAN,160,3183,4377,4775,3581,1280,1275,1261,205541,208973,null
NATURE,Dual Force Ring,LEGENDARY,MAGIC,RING,158,3130,3521,4304,4695,1279,1271,1260,204597,208699,null
NATURE,Ent Heart Pendant,LEGENDARY,ATTACK,NECKLACE,150,4108,4482,2988,3361,1272,1264,1104,196843,205799,null
ICE,Winter Has Come,LEGENDARY,NONE,OFF_HAND,160,3165,3561,4353,4748,null,null,null,201347,207341,Blue Merlin
ICE,Crystal Fury,LEGENDARY,NONE,MAIN_HAND,161,3201,4401,4802,3601,null,null,null,200947,207137,Healing Scraps
ICE,Ice Warlord Warboots,LEGENDARY,MAGIC,BOOTS,150,2988,3361,4108,4482,1290,1316,1271,204875,208825,null
ICE,Ice Warlord Handwraps,LEGENDARY,DEFENSE,GLOVES,160,3148,4328,4722,3541,1292,1519,1282,198147,206057,null
ICE,Ice Warlord Battleplate,LEGENDARY,ATTACK,CHEST,156,4279,4668,3112,3501,1291,1310,1264,197093,205927,null
ICE,Ice Warlord Crown,LEGENDARY,MAGIC,HELM,164,3237,3641,4450,4855,1287,1311,1283,200603,206963,null
ICE,Horn of Blizzard,LEGENDARY,ATTACK,TALISMAN,158,4304,4695,3130,3521,1289,1535,1274,205537,208971,null
ICE,Ice Bride Ring,LEGENDARY,DEFENSE,RING,153,3023,4157,4535,3401,1288,1315,1265,204593,208697,null
ICE,Glacier Heart,LEGENDARY,MAGIC,NECKLACE,150,2970,3341,4084,4455,1290,1523,1273,196839,205797,null
LAVA,Hellraiser Chainwraps,LEGENDARY,ATTACK,GLOVES,154,4206,4588,3059,3441,1317,1515,1270,198155,206061,null
LAVA,Hellraiser Warboots,LEGENDARY,DEFENSE,BOOTS,156,3112,4279,4668,3501,1318,1293,1261,204887,208831,null
LAVA,Hellraiser Carapace,LEGENDARY,MAGIC,CHEST,160,3148,3541,4328,4722,1316,1531,1263,197101,205931,null
LAVA,Incarcerator,LEGENDARY,NONE,MAIN_HAND,164,3219,4426,4828,3621,null,null,null,200975,207151,Artful Dodger
LAVA,Hellsdoor,LEGENDARY,NONE,OFF_HAND,160,4377,4775,3183,3581,null,null,null,201363,207349,Red Drop of Hope
LAVA,Helmet of Chaos,LEGENDARY,DEFENSE,HELM,156,3094,4255,4642,3481,1535,1292,1272,200611,206967,null
LAVA,Hell's Hammer,LEGENDARY,MAGIC,TALISMAN,150,2970,3341,4084,4455,1312,1287,1279,205545,208975,null
LAVA,Blissful Torment Ring,LEGENDARY,ATTACK,RING,156,4230,4615,3077,3461,1310,1527,1262,204601,208701,null
LAVA,Infernal Furnace,LEGENDARY,DEFENSE,NECKLACE,152,3006,4133,4508,3381,1311,1539,1280,196847,205801,null
DRAGON,Dragonslayer,LEGENDARY,NONE,MAIN_HAND,167,3308,3721,4548,4961,null,null,null,200983,207155,Occult Curse
DRAGON,Firebreath Greatshield,LEGENDARY,NONE,OFF_HAND,164,3254,4475,4881,3661,null,null,null,201371,207353,Unshielded Wizard
DRAGON,Dragonhorn Crown,LEGENDARY,ATTACK,HELM,161,4401,4802,3201,3601,1527,1289,1284,200619,206971,null
DRAGON,Draconis Armor,LEGENDARY,DEFENSE,CHEST,165,3272,4499,4908,3681,1539,1288,1275,197109,205935,null
DRAGON,Dragonclaws,LEGENDARY,MAGIC,GLOVES,158,3130,3521,4304,4695,1531,1293,1266,198167,206067,null
DRAGON,Dragonscales,LEGENDARY,ATTACK,BOOTS,160,4328,4722,3148,3541,1515,1317,1278,204899,208837,null
DRAGON,Firebreath Ring,LEGENDARY,MAGIC,RING,164,3254,3661,4475,4881,1523,1312,1260,204609,208705,null
DRAGON,Dracca Pendant,LEGENDARY,ATTACK,NECKLACE,156,4255,4642,3094,3481,1315,1291,1281,196863,205809,null
DRAGON,Dragon Hatchling,LEGENDARY,DEFENSE,TALISMAN,164,3237,4450,4855,3641,1519,1318,1269,205553,208979,null
SHADOW,The Betrayer,LEGENDARY,NONE,MAIN_HAND,168,3325,3741,4572,4988,null,null,null,200979,207153,Weak Shield Benefits
SHADOW,Burden of Betrayal,LEGENDARY,NONE,OFF_HAND,164,4450,4855,3237,3641,null,null,null,201367,207351,Second Chance
SHADOW,Shadowcrown,LEGENDARY,MAGIC,HELM,164,3254,3661,4475,4881,1583,1749,1531,200615,206969,null
SHADOW,Shadowfall Armor,LEGENDARY,ATTACK,CHEST,164,4475,4881,3254,3661,1599,1753,1291,197105,205933,null
SHADOW,Shadowscales,LEGENDARY,MAGIC,BOOTS,164,3219,3621,4426,4828,1575,1737,1312,204891,208833,null
SHADOW,Grips of Gloom,LEGENDARY,DEFENSE,GLOVES,164,3254,4475,4881,3661,1591,1793,1539,198159,206063,null
SHADOW,Ring of Betrayal,LEGENDARY,DEFENSE,RING,160,3148,4328,4722,3541,1587,1761,1292,204605,208703,null
SHADOW,Shadowsong Pendant,LEGENDARY,MAGIC,NECKLACE,164,3219,3621,4426,4828,1575,1789,1316,196855,205805,null
SHADOW,Shadowfang Poison,LEGENDARY,ATTACK,TALISMAN,156,4255,4642,3094,3481,1579,1769,1317,205549,208977,null
NONE,PPAP,LEGENDARY,NONE,MAIN_HAND,160,3165,3561,4353,4748,null,null,null,200811,207069,Blue Bandage
NONE,Sir Malicious,LEGENDARY,NONE,MAIN_HAND,160,3148,4328,4722,3541,null,null,null,200903,207115,Melee Shock
NONE,Sir Vicious,LEGENDARY,NONE,OFF_HAND,161,4401,4802,3201,3601,null,null,null,201287,207311,Support for Magic
SACRED,Redeemer,LEGENDARY,NONE,OFF_HAND,166,4524,4935,3290,3701,null,null,null,201391,207363,Second Chance
SACRED,Godslayer,LEGENDARY,NONE,MAIN_HAND,164,3254,3661,4475,4881,null,null,null,201003,207165,Victor's Blessing
DEATH,Flesheater,LEGENDARY,NONE,OFF_HAND,164,3237,4450,4855,3641,null,null,null,201387,207361,Spontaneous Spirits
DEATH,Annihilator,LEGENDARY,NONE,MAIN_HAND,164,4426,4828,3219,3621,null,null,null,200999,207163,Cherry on Top
ICE,Frost Empress,LEGENDARY,NONE,OFF_HAND,165,4499,4908,3272,3681,null,null,null,201383,207359,Second Chance
ICE,Virgin's Braid,LEGENDARY,NONE,MAIN_HAND,164,3237,3641,4450,4855,null,null,null,200995,207161,Goodbye Shield Hello Magic
NOBLE,Ironforce Ring,LEGENDARY,ATTACK,RING,164,4450,4855,3237,3641,1753,1785,1289,204617,208709,null
NOBLE,Regis Leonis Pendant,LEGENDARY,DEFENSE,NECKLACE,165,3272,4499,4908,3681,1749,1773,1519,196875,205815,null
NOBLE,Ironforce Law,LEGENDARY,MAGIC,TALISMAN,166,3290,3701,4524,4935,1757,1583,1523,205565,208985,null
NOBLE,Iron Roar,LEGENDARY,NONE,OFF_HAND,164,3254,4475,4881,3661,null,null,null,201379,207357,Your Heal My Gain
NOBLE,The Claw,LEGENDARY,NONE,MAIN_HAND,165,3272,3681,4499,4908,null,null,null,200991,207159,Blue Fixer
NOBLE,Ironpaws,LEGENDARY,DEFENSE,BOOTS,164,3237,4450,4855,3641,1733,1595,1288,204907,208841,null
NOBLE,Steelclaws,LEGENDARY,ATTACK,GLOVES,166,4524,4935,3290,3701,1729,1797,1310,198175,206071,null
NOBLE,Ironlion Greatplate,LEGENDARY,MAGIC,CHEST,164,3254,3661,4475,4881,1737,1765,1290,197117,205939,null
NOBLE,Ironjaw,LEGENDARY,DEFENSE,HELM,167,3308,4548,4961,3721,1769,1591,1315,200635,206979,null
HEX,Cursed Crow Ring,LEGENDARY,MAGIC,RING,165,3272,3681,4499,4908,1789,1757,1287,204613,208707,null
HEX,Witchcrafter Pendant,LEGENDARY,ATTACK,NECKLACE,164,4450,4855,3237,3641,1761,1599,1515,196871,205813,null
HEX,Obedience Puppet,LEGENDARY,DEFENSE,TALISMAN,164,3254,4475,4881,3661,1793,1733,1311,205557,208981,null
HEX,The Hex,LEGENDARY,NONE,OFF_HAND,165,3272,3681,4499,4908,null,null,null,201375,207355,Blue Merlin
HEX,Black Prophet,LEGENDARY,NONE,MAIN_HAND,166,3290,3701,4524,4935,null,null,null,200987,207157,Weaker Body Stronger Magic
HEX,Cursed Claws,LEGENDARY,ATTACK,BOOTS,165,4499,4908,3272,3681,1797,1729,1527,204903,208839,null
HEX,Hexe Gauntlets,LEGENDARY,MAGIC,GLOVES,165,3272,3681,4499,4908,1765,1595,1293,198171,206069,null
HEX,Hexodus Spellplate,LEGENDARY,DEFENSE,CHEST,165,3272,4499,4908,3681,1773,1587,1318,197113,205937,null
HEX,Darkspell Hood,LEGENDARY,ATTACK,HELM,164,4450,4855,3237,3641,1785,1579,1535,200627,206975,null
NONE,Savage Santa Hat,LEGENDARY,ATTACK,HELM,160,4353,4748,3165,3561,1261,1269,1312,200639,206981,null
ABYSS,Fjord Runners,LEGENDARY,MAGIC,BOOTS,166,3290,3701,4524,4935,2193,2241,1757,204911,208843,null
ABYSS,Axe of Abyss,LEGENDARY,NONE,OFF_HAND,165,4499,4908,3272,3681,null,null,null,201395,207365,Red Dance Chance
ABYSS,Steel Mermaid,LEGENDARY,NONE,MAIN_HAND,165,4499,4908,3272,3681,null,null,null,201007,207167,Adrenaline Boost
ABYSS,Odin's Horns,LEGENDARY,MAGIC,HELM,166,3290,3701,4524,4935,2181,2217,1765,200643,206983,null
ABYSS,Tentacle Grips,LEGENDARY,DEFENSE,GLOVES,164,3237,4450,4855,3641,2209,2523,1773,198183,206075,null
ABYSS,Seasnake Chestpiece,LEGENDARY,ATTACK,CHEST,164,4475,4881,3254,3661,2205,2233,1599,197121,205941,null
ABYSS,Cobalt Compass,LEGENDARY,ATTACK,TALISMAN,165,4499,4908,3272,3681,2201,2535,1729,205573,208989,null
ABYSS,Ring of Seven Seas,LEGENDARY,DEFENSE,RING,164,3254,4475,4881,3661,2197,2229,1591,204621,208711,null
ABYSS,Kraken's Gaze,LEGENDARY,MAGIC,NECKLACE,166,3290,3701,4524,4935,2193,2527,1737,196879,205817,null
THUNDER,Bolt Boots,LEGENDARY,DEFENSE,BOOTS,164,3254,4475,4881,3661,2249,2213,1587,204915,208845,null
THUNDER,Ashes to Ashes Ward,LEGENDARY,NONE,OFF_HAND,165,3272,4499,4908,3681,null,null,null,201399,207367,Spontaneous Spirits
THUNDER,Flaming Flash Spear,LEGENDARY,NONE,MAIN_HAND,166,4524,4935,3290,3701,null,null,null,201015,207171,Beast Trick
THUNDER,Thunderbolt Crown,LEGENDARY,DEFENSE,HELM,166,3290,4524,4935,3701,2535,2209,1761,200647,206985,null
THUNDER,Voltage Grips,LEGENDARY,ATTACK,GLOVES,164,4475,4881,3254,3661,2245,2519,1753,198187,206077,null
THUNDER,Thunderlord Armor,LEGENDARY,MAGIC,CHEST,166,3290,3701,4524,4935,2241,2543,1575,197125,205943,null
THUNDER,Bolt Bouquet,LEGENDARY,MAGIC,TALISMAN,164,3237,3641,4450,4855,2237,2181,1789,205577,208991,null
THUNDER,Ring of Ignition,LEGENDARY,ATTACK,RING,166,4524,4935,3290,3701,2233,2531,1579,204629,208715,null
THUNDER,Fulgure Necklace,LEGENDARY,DEFENSE,NECKLACE,164,3254,4475,4881,3661,2217,2539,1793,196883,205819,null
NATURE,Azure Spear,LEGENDARY,NONE,MAIN_HAND,164,3254,3661,4475,4881,null,null,null,200951,207139,Boosted Blue
NECRO,Impaler,LEGENDARY,NONE,MAIN_HAND,165,3272,4499,4908,3681,null,null,null,200923,207125,Red Passion
NATURE,White Dame,LEGENDARY,NONE,MAIN_HAND,161,4401,4802,3201,3601,null,null,null,200959,207143,Sky Becomes Red
LAVA,Infernal Smasher,LEGENDARY,NONE,MAIN_HAND,164,3254,3661,4475,4881,null,null,null,200971,207149,Power Dash
SACRED,Divine Dualblade,LEGENDARY,NONE,MAIN_HAND,166,3290,4524,4935,3701,null,null,null,200907,207117,Spell of the Rose
BEAST,Savage Greataxe,LEGENDARY,NONE,MAIN_HAND,165,4499,4908,3272,3681,null,null,null,200931,207129,To My Shield Delight
DEATH,Crimson Curse,LEGENDARY,NONE,MAIN_HAND,166,3290,3701,4524,4935,null,null,null,200915,207121,Sky Becomes Red
BEAST,The Bone Collector,LEGENDARY,NONE,OFF_HAND,164,3237,4450,4855,3641,null,null,null,201339,207337,Safeguard Kill
NATURE,Elven Blessing,LEGENDARY,NONE,OFF_HAND,164,4475,4881,3254,3661,null,null,null,201351,207343,Red Drop of Hope
NECRO,Bone Driller,LEGENDARY,NONE,OFF_HAND,164,4426,4828,3219,3621,null,null,null,201327,207331,Support for Destroyers
LAVA,Flaming Stomper,LEGENDARY,NONE,OFF_HAND,160,3183,4377,4775,3581,null,null,null,201359,207347,Weak But Shielded
SACRED,Sin Crusher,LEGENDARY,NONE,OFF_HAND,161,3201,3601,4401,4802,null,null,null,201307,207321,Second Chance
NATURE,Banshee Autumn,LEGENDARY,NONE,MAIN_HAND,158,3130,4304,4695,3521,null,null,null,200963,207145,Blue Bandage
NECRO,Phantom Crown,LEGENDARY,ATTACK,HELM,167,4548,4961,3308,3721,2531,2201,1769,200655,206989,null
NECRO,Ghost Monarch Armor,LEGENDARY,DEFENSE,CHEST,168,3325,4572,4988,3741,2539,2197,1733,197133,205947,null
NECRO,Grips of Delirium,LEGENDARY,MAGIC,GLOVES,166,3290,3701,4524,4935,2543,2213,1595,198199,206083,null
NECRO,Spectre Walkers,LEGENDARY,ATTACK,BOOTS,167,4548,4961,3308,3721,2519,2245,1785,204927,208851,null
NECRO,Spectral Eye Pendant,LEGENDARY,ATTACK,NECKLACE,166,4524,4935,3290,3701,2229,2205,1797,196891,205823,null
NECRO,Spooker,LEGENDARY,DEFENSE,TALISMAN,168,3325,4572,4988,3741,2523,2249,1749,205585,208995,null
NECRO,Silent Scream Ring,LEGENDARY,MAGIC,RING,167,3308,3721,4548,4961,2527,2237,1583,204641,208721,null
NECRO,Ghost Monarch,LEGENDARY,NONE,MAIN_HAND,167,3308,3721,4548,4961,null,null,null,201031,207179,White Generosity
NECRO,Spectral Shield,LEGENDARY,NONE,OFF_HAND,168,3325,3741,4572,4988,null,null,null,201419,207377,Scarlet Seas
WIND,Zephyr's Veil,LEGENDARY,MAGIC,HELM,166,3290,3701,4524,4935,2567,2845,2543,200651,206987,null
WIND,Windwolf Armor,LEGENDARY,ATTACK,CHEST,167,4548,4961,3308,3721,2575,2841,2205,197129,205945,null
WIND,Mistral Grips,LEGENDARY,DEFENSE,GLOVES,167,3308,4548,4961,3721,2579,2877,2539,198195,206081,null
WIND,Airwalker Boots,LEGENDARY,MAGIC,BOOTS,168,3325,3741,4572,4988,2555,2849,2237,204919,208847,null
WIND,Windwolf Necklace,LEGENDARY,MAGIC,NECKLACE,167,3308,3721,4548,4961,2555,2913,2241,196887,205821,null
WIND,Air Beast Essence,LEGENDARY,ATTACK,TALISMAN,167,4548,4961,3308,3721,2559,2893,2245,205581,208993,null
WIND,Whirlwind Ring,LEGENDARY,DEFENSE,RING,166,3290,4524,4935,3701,2563,2833,2209,204633,208717,null
WIND,Deathbreeze,LEGENDARY,NONE,MAIN_HAND,168,4572,4988,3325,3741,null,null,null,201019,207173,Red Cocktail
WIND,Windwolf Shield,LEGENDARY,NONE,OFF_HAND,167,3308,4548,4961,3721,null,null,null,201411,207373,Your Heal My Gain
NONE,Nightmare Mask,LEGENDARY,ATTACK,HELM,164,4426,4828,3219,3621,1591,1264,1595,200579,206951,null
NONE,Scream Harvester,LEGENDARY,DEFENSE,HELM,164,3219,4426,4828,3621,1591,1264,1595,200583,206953,null
NONE,Kitter Warrior,LEGENDARY,MAGIC,TALISMAN,160,3183,3581,4377,4775,1749,2205,2579,205645,209027,null
NONE,Kitter Mage,LEGENDARY,ATTACK,TALISMAN,160,4377,4775,3183,3581,1733,1793,2527,205649,209029,null
WIND,Hurricane Howl,LEGENDARY,NONE,MAIN_HAND,167,4548,4961,3308,3721,null,null,null,201023,207175,High Hopes
WIND,Monsoon Mirror Shield,LEGENDARY,NONE,OFF_HAND,167,3308,4548,4961,3721,null,null,null,201403,207369,Support for Magic
NECRO,Gaze of Death,LEGENDARY,NONE,MAIN_HAND,168,3325,3741,4572,4988,null,null,null,201027,207177,Boosted Blue
NECRO,Nightmare Throne Shield,LEGENDARY,NONE,OFF_HAND,168,3325,4572,4988,3741,null,null,null,201415,207375,Support for Destroyers
BEAST,Hunter Horns,LEGENDARY,DEFENSE,HELM,169,3343,4597,5015,3761,2893,2579,2229,200663,206993,null
BEAST,Torture Tyrant Armor,LEGENDARY,MAGIC,CHEST,170,3361,3781,4621,5041,2849,2889,2193,197137,205949,null
BEAST,Gloves of Brutality,LEGENDARY,ATTACK,GLOVES,169,4597,5015,3343,3761,2853,2873,2233,198203,206085,null
BEAST,Corpse Dweller Boots,LEGENDARY,DEFENSE,BOOTS,170,3361,4621,5041,3781,2857,2571,2197,204931,208853,null
BEAST,Skull Bongo,LEGENDARY,MAGIC,TALISMAN,169,3343,3761,4597,5015,2837,2567,2527,205593,208999,null
BEAST,Slayer's Ring,LEGENDARY,ATTACK,RING,169,4597,5015,3343,3761,2841,2881,2201,204645,208723,null
BEAST,Savage Shaman Pendant,LEGENDARY,DEFENSE,NECKLACE,168,3325,4572,4988,3741,2845,2885,2523,196899,205827,null
BEAST,Merciless Reaper,LEGENDARY,NONE,MAIN_HAND,170,4621,5041,3361,3781,null,null,null,201035,207181,White Ward
BEAST,Fang of Cruelty,LEGENDARY,NONE,MAIN_HAND,167,4548,4961,3308,3721,null,null,null,201039,207183,Blue Fixer
BEAST,Horrid Hunger Shield,LEGENDARY,NONE,OFF_HAND,168,4572,4988,3325,3741,null,null,null,201427,207381,Red Advantage
MYTH,Turban of Divination,LEGENDARY,ATTACK,HELM,169,4597,5015,3343,3761,2881,2559,2535,200671,206997,null
MYTH,The Alchemist Armor,LEGENDARY,DEFENSE,CHEST,170,3361,4621,5041,3781,2885,2563,2249,197141,205951,null
MYTH,Boots of Destiny,LEGENDARY,ATTACK,BOOTS,169,4597,5015,3343,3761,2873,2853,2531,204935,208855,null
MYTH,Dragonfire Potion,LEGENDARY,DEFENSE,TALISMAN,169,3343,4597,5015,3761,2877,2857,2217,205597,209001,null
MYTH,Fatal Bite Ring,LEGENDARY,MAGIC,RING,168,3325,3741,4572,4988,2913,2837,2181,204649,208725,null
MYTH,Arcane Potion Pendant,LEGENDARY,ATTACK,NECKLACE,169,4597,5015,3343,3761,2833,2575,2519,196903,205829,null
MYTH,Dark Omen,LEGENDARY,NONE,MAIN_HAND,170,3361,3781,4621,5041,null,null,null,201043,207185,White Chances
MYTH,Fang of Naga,LEGENDARY,NONE,MAIN_HAND,168,3325,3741,4572,4988,null,null,null,201051,207189,Azure Gift
MYTH,Forbidden Ritual Shield,LEGENDARY,NONE,OFF_HAND,167,3308,3721,4548,4961,null,null,null,201431,207383,Your Heal My Gain
MYTH,Sky Serpent Shield,LEGENDARY,NONE,OFF_HAND,167,3308,3721,4548,4961,null,null,null,201439,207387,Safeguard Kill
MYTH,Prophecy Gloves,LEGENDARY,MAGIC,GLOVES,168,3325,3741,4572,4988,2889,2571,2213,198207,206087,null
NONE,Rudolf's Rage,LEGENDARY,NONE,MAIN_HAND,166,3290,4524,4935,3701,null,null,null,201055,207191,Old Shield Advantage
NONE,Heart of the Iceberg,LEGENDARY,NONE,MAIN_HAND,166,3290,4524,4935,3701,null,null,null,201059,207193,Weaker Body Stronger Magic
DEATH,Red Devil,LEGENDARY,MAGIC,HELM,170,3361,3781,4621,5041,3415,3451,2889,200675,206999,null
DEATH,Hellgate Armor,LEGENDARY,ATTACK,CHEST,171,4670,5095,3396,3821,3419,3447,2575,197145,205953,null
DEATH,Devil's Grip Gloves,LEGENDARY,DEFENSE,GLOVES,170,3361,4621,5041,3781,3423,4021,2885,198211,206089,null
DEATH,Diabolic Stompers,LEGENDARY,MAGIC,BOOTS,170,3379,3801,4646,5068,3403,3455,2837,204939,208857,null
DEATH,Demon Legion Scroll,LEGENDARY,ATTACK,TALISMAN,170,4621,5041,3361,3781,3407,4001,2853,205601,209003,null
DEATH,Baal's Fang Ring,LEGENDARY,DEFENSE,RING,170,3361,4621,5041,3781,3411,3439,2579,204653,208727,null
DEATH,Hearth of Hell Pendant,LEGENDARY,MAGIC,NECKLACE,169,3343,3761,4597,5015,3403,4017,2849,196907,205831,null
DEATH,Hellbroke Sword,LEGENDARY,NONE,MAIN_HAND,170,4646,5068,3379,3801,null,null,null,201071,207199,Creme de la Crime
DEATH,Azazel Shield,LEGENDARY,NONE,OFF_HAND,169,4597,5015,3343,3761,null,null,null,201451,207393,Support for Destroyers
ICE,Ice Crown,LEGENDARY,DEFENSE,HELM,171,3396,4670,5095,3821,4001,3423,2833,200679,207001,null
ICE,Cursed Iceberg Armor,LEGENDARY,MAGIC,CHEST,170,3379,3801,4646,5068,3455,4005,2555,197149,205955,null
ICE,Claws of Blizzard,LEGENDARY,ATTACK,GLOVES,170,4621,5041,3361,3781,3459,4025,2841,198219,206093,null
ICE,Glacier Stompers,LEGENDARY,DEFENSE,BOOTS,170,3361,4621,5041,3781,3463,3427,2563,204947,208861,null
ICE,Liquid Ice,LEGENDARY,MAGIC,TALISMAN,170,3379,3801,4646,5068,3443,3415,2913,205605,209005,null
ICE,Glacier Beast Ring,LEGENDARY,ATTACK,RING,169,4597,5015,3343,3761,3447,4013,2559,204657,208729,null
ICE,Ice Tear Pendant,LEGENDARY,DEFENSE,NECKLACE,170,3361,4621,5041,3781,3451,4009,2877,196911,205833,null
ICE,Ice Dragon,LEGENDARY,NONE,MAIN_HAND,171,3396,3821,4670,5095,null,null,null,201075,207201,Red Curse
ICE,Crystalline Shield,LEGENDARY,NONE,OFF_HAND,172,3414,3841,4695,5121,null,null,null,201455,207395,Unshielded Wizard
